Historic Number Of Orders,Average Order Value,First Active,Last Active,Historic Customer Lifetime Value,days active
6.0,133.2,2021-02-26,2022-05-02,791.32,430.0
14.0,182.4,2021-02-19,2022-05-02,2533.67,437.0
2.0,196.93,2021-03-06,2022-05-02,392.02,422.0
2.0,135.36,2021-02-20,2022-05-02,268.87,436.0
1.0,145.51,2021-02-20,2022-05-02,145.17,436.0
1.0,254.45,2021-02-24,2022-05-02,254.11,432.0
1.0,136.59,2021-03-05,2022-05-02,136.25,423.0
1.0,106.51,2021-02-19,2022-05-02,106.17,437.0
5.0,144.24,2021-03-07,2022-05-02,714.81,421.0
2.0,147.11,2021-03-07,2022-05-02,292.36,421.0
3.0,248.43,2021-03-07,2022-05-02,741.94,421.0
1.0,118.01,2021-02-19,2022-05-02,117.67,437.0
5.0,277.68,2021-03-05,2022-05-02,1382.02,423.0
1.0,111.82,2021-02-20,2022-05-02,111.48,436.0
2.0,135.43,2021-02-20,2022-05-02,269.01,436.0
1.0,99.3,2021-02-19,2022-05-02,98.96,437.0
1.0,214.21,2021-03-06,2022-05-02,213.87,422.0
4.0,199.1,2021-02-19,2022-05-02,791.52,437.0
2.0,263.07,2021-02-20,2022-05-02,524.3,436.0
1.0,159.84,2021-03-20,2022-05-02,159.5,408.0
1.0,232.51,2021-02-19,2022-05-02,232.17,437.0
1.0,88.89,2021-02-20,2022-05-02,88.55,436.0
1.0,163.97,2021-02-15,2022-05-02,163.63,441.0
1.0,115.51,2021-02-19,2022-05-02,115.17,437.0
1.0,128.57,2021-02-20,2022-05-02,128.23,436.0
1.0,140.53,2021-02-20,2022-05-02,140.19,436.0
1.0,88.89,2021-02-20,2022-05-02,88.55,436.0
4.0,149.39,2021-02-24,2022-05-02,592.7,432.0
6.0,125.83,2021-02-20,2022-05-02,747.12,436.0
2.0,148.7,2021-02-19,2022-05-02,295.55,437.0
2.0,113.59,2021-03-13,2022-05-02,225.32,415.0
3.0,201.0,2021-02-20,2022-05-02,599.63,436.0
2.0,190.2,2021-04-20,2022-05-02,378.55,377.0
5.0,165.75,2021-02-20,2022-05-02,822.35,436.0
1.0,203.86,2021-03-07,2022-05-02,203.52,421.0
3.0,214.63,2021-02-19,2022-05-02,640.53,437.0
4.0,126.37,2021-02-19,2022-05-02,500.63,437.0
2.0,96.98,2021-02-20,2022-05-02,192.11,436.0
1.0,116.47,2021-03-06,2022-05-02,116.13,422.0
1.0,118.77,2021-03-05,2022-05-02,118.43,423.0
1.0,101.51,2021-02-20,2022-05-02,101.17,436.0
1.0,213.01,2021-02-19,2022-05-02,212.67,437.0
1.0,283.19,2021-03-05,2022-05-02,282.85,423.0
2.0,127.4,2021-02-19,2022-05-02,252.95,437.0
7.0,153.07,2021-02-20,2022-05-02,1062.11,436.0
1.0,103.39,2021-02-19,2022-05-02,103.05,437.0
1.0,110.74,2021-02-20,2022-05-02,110.4,436.0
3.0,114.52,2021-02-20,2022-05-02,340.19,436.0
2.0,139.47,2021-02-20,2022-05-02,277.1,436.0
4.0,267.18,2021-02-20,2022-05-02,1063.83,436.0
1.0,391.51,2021-02-19,2022-05-02,391.17,437.0
1.0,90.04,2021-02-20,2022-05-02,89.7,436.0
4.0,169.07,2021-02-20,2022-05-02,671.43,436.0
1.0,201.79,2021-04-21,2022-05-02,201.45,376.0
1.0,132.58,2021-02-20,2022-05-02,132.24,436.0
4.0,247.83,2021-02-19,2022-05-02,986.47,437.0
1.0,88.89,2021-02-20,2022-05-02,88.55,436.0
1.0,73.31,2021-02-20,2022-05-02,72.97,436.0
2.0,156.95,2021-04-08,2022-05-02,312.06,389.0
2.0,272.84,2021-02-20,2022-05-02,543.83,436.0
1.0,284.34,2021-02-20,2022-05-02,284.0,436.0
1.0,136.59,2021-02-22,2022-05-02,136.25,434.0
2.0,253.01,2021-02-20,2022-05-02,504.16,436.0
4.0,145.63,2021-02-19,2022-05-02,577.66,437.0
1.0,93.48,2021-02-20,2022-05-02,93.14,436.0
9.0,142.95,2021-03-05,2022-05-02,1274.11,423.0
4.0,177.42,2021-03-05,2022-05-02,704.81,423.0
3.0,139.05,2021-03-06,2022-05-02,413.78,422.0
1.0,167.05,2021-03-07,2022-05-02,166.71,421.0
2.0,253.47,2021-02-19,2022-05-02,505.08,437.0
2.0,168.2,2021-02-21,2022-05-02,334.55,435.0
1.0,213.64,2021-02-20,2022-05-02,213.3,436.0
1.0,118.21,2021-02-19,2022-05-02,117.87,437.0
1.0,88.89,2021-03-07,2022-05-02,88.55,421.0
1.0,138.33,2021-02-23,2022-05-02,137.99,433.0
2.0,146.79,2021-02-19,2022-05-02,291.72,437.0
1.0,142.93,2021-04-08,2022-05-02,142.59,389.0
2.0,139.19,2021-02-20,2022-05-02,276.52,436.0
2.0,112.74,2021-02-20,2022-05-02,223.63,436.0
1.0,1.51,2021-02-08,2022-05-02,1.17,448.0
1.0,150.97,2021-02-20,2022-05-02,150.63,436.0
2.0,85.67,2021-02-19,2022-05-02,169.48,437.0
4.0,125.87,2021-03-24,2022-05-02,498.6,404.0
1.0,161.51,2021-02-19,2022-05-02,161.17,437.0
2.0,241.41,2021-03-05,2022-05-02,480.96,423.0
3.0,154.48,2021-02-19,2022-05-02,460.09,437.0
1.0,92.34,2021-02-20,2022-05-02,92.0,436.0
1.0,88.89,2021-02-20,2022-05-02,88.55,436.0
3.0,206.39,2021-02-19,2022-05-02,615.81,437.0
14.0,373.51,2021-02-20,2022-05-02,5209.19,436.0
1.0,140.53,2021-02-20,2022-05-02,140.19,436.0
1.0,113.41,2021-02-19,2022-05-02,113.07,437.0
1.0,99.21,2021-02-20,2022-05-02,98.87,436.0
3.0,124.98,2021-02-20,2022-05-02,371.57,436.0
2.0,115.5,2021-03-12,2022-05-02,229.15,416.0
1.0,86.5,2021-02-19,2022-05-02,86.16,437.0
3.0,122.62,2021-02-20,2022-05-02,364.49,436.0
1.0,118.01,2021-02-19,2022-05-02,117.67,437.0
2.0,126.25,2021-02-19,2022-05-02,250.64,437.0
2.0,163.13,2021-02-19,2022-05-02,324.42,437.0
1.0,123.91,2021-02-19,2022-05-02,123.57,437.0
2.0,150.97,2021-02-20,2022-05-02,300.09,436.0
1.0,119.92,2021-02-20,2022-05-02,119.58,436.0
3.0,137.12,2021-02-19,2022-05-02,408.01,437.0
4.0,228.61,2021-02-19,2022-05-02,909.58,437.0
2.0,115.77,2021-02-19,2022-05-02,229.69,437.0
3.0,168.95,2021-02-19,2022-05-02,503.49,437.0
1.0,371.6,2021-03-04,2022-05-02,371.26,424.0
1.0,126.83,2021-03-18,2022-05-02,126.49,410.0
2.0,111.88,2021-02-19,2022-05-02,221.91,437.0
4.0,156.37,2021-02-20,2022-05-02,620.63,436.0
2.0,96.14,2021-02-19,2022-05-02,190.43,437.0
1.0,251.0,2021-02-20,2022-05-02,250.66,436.0
1.0,88.89,2021-02-20,2022-05-02,88.55,436.0
1.0,233.76,2021-03-07,2022-05-02,233.42,421.0
1.0,95.51,2021-02-19,2022-05-02,95.17,437.0
2.0,170.17,2021-02-20,2022-05-02,338.5,436.0
1.0,96.51,2021-02-20,2022-05-02,96.17,436.0
1.0,392.41,2021-02-20,2022-05-02,392.07,436.0
2.0,102.68,2021-03-17,2022-05-02,203.51,411.0
6.0,128.89,2021-02-19,2022-05-02,765.47,437.0
1.0,369.42,2021-02-20,2022-05-02,369.08,436.0
7.0,163.32,2021-02-19,2022-05-02,1133.86,437.0
1.0,130.51,2021-02-20,2022-05-02,130.17,436.0
2.0,153.27,2021-02-20,2022-05-02,304.69,436.0
1.0,162.47,2021-02-20,2022-05-02,162.13,436.0
1.0,76.12,2021-03-07,2022-05-02,75.78,421.0
1.0,76.55,2021-02-15,2022-05-02,76.21,441.0
3.0,218.01,2021-03-05,2022-05-02,650.68,423.0
1.0,1.51,2021-02-15,2022-05-02,1.17,441.0
2.0,141.14,2021-02-19,2022-05-02,280.43,437.0
1.0,150.76,2021-02-15,2022-05-02,150.42,441.0
4.0,78.4,2021-02-19,2022-05-02,308.71,437.0
4.0,266.81,2021-02-20,2022-05-02,1062.36,436.0
1.0,223.81,2021-02-18,2022-05-02,223.47,438.0
1.0,103.39,2021-02-19,2022-05-02,103.05,437.0
7.0,182.65,2021-02-23,2022-05-02,1269.18,433.0
1.0,90.03,2021-02-20,2022-05-02,89.69,436.0
2.0,214.78,2021-02-21,2022-05-02,427.71,435.0
6.0,261.55,2021-02-15,2022-05-02,1561.44,441.0
1.0,88.89,2021-02-19,2022-05-02,88.55,437.0
3.0,236.04,2021-06-15,2022-05-02,704.75,321.0
3.0,112.84,2021-02-20,2022-05-02,335.16,436.0
1.0,79.31,2021-02-19,2022-05-02,78.97,437.0
1.0,114.52,2021-05-10,2022-05-02,114.18,357.0
2.0,337.22,2021-02-28,2022-05-02,672.59,428.0
1.0,78.71,2021-02-19,2022-05-02,78.37,437.0
7.0,216.5,2021-02-19,2022-05-02,1506.07,437.0
3.0,111.5,2021-02-19,2022-05-02,331.13,437.0
2.0,211.91,2021-02-19,2022-05-02,421.98,437.0
1.0,96.19,2021-02-20,2022-05-02,95.85,436.0
17.0,143.59,2021-02-20,2022-05-02,2416.47,436.0
1.0,139.47,2021-02-20,2022-05-02,139.13,436.0
1.0,95.24,2021-02-19,2022-05-02,94.9,437.0
1.0,163.51,2021-02-19,2022-05-02,163.17,437.0
2.0,171.67,2021-02-20,2022-05-02,341.49,436.0
1.0,213.01,2021-02-19,2022-05-02,212.67,437.0
1.0,194.67,2021-02-21,2022-05-02,194.33,435.0
1.0,294.68,2021-04-05,2022-05-02,294.34,392.0
1.0,150.97,2021-02-19,2022-05-02,150.63,437.0
2.0,171.67,2021-02-27,2022-05-02,341.48,429.0
1.0,110.72,2021-02-20,2022-05-02,110.38,436.0
1.0,93.49,2021-02-19,2022-05-02,93.15,437.0
1.0,174.32,2021-02-20,2022-05-02,173.98,436.0
1.0,165.0,2022-01-13,2022-05-02,164.66,109.0
1.0,231.45,2022-01-13,2022-05-02,231.11,109.0
1.0,265.46,2022-01-13,2022-05-02,265.12,109.0
1.0,101.54,2022-01-13,2022-05-02,101.2,109.0
1.0,129.08,2022-01-13,2022-05-02,128.74,109.0
1.0,260.2,2022-01-13,2022-05-02,259.86,109.0
1.0,165.0,2022-01-14,2022-05-02,164.66,108.0
1.0,403.92,2022-01-13,2022-05-02,403.58,109.0
1.0,100.38,2022-01-12,2022-05-02,100.04,110.0
1.0,164.77,2022-01-13,2022-05-02,164.43,109.0
1.0,118.65,2021-03-24,2022-05-02,118.31,404.0
2.0,186.85,2021-04-06,2022-05-02,371.84,391.0
1.0,173.96,2021-08-04,2022-05-02,173.62,271.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
2.0,136.67,2021-07-28,2022-05-02,271.48,278.0
2.0,99.81,2021-09-01,2022-05-02,197.77,243.0
1.0,125.68,2021-09-01,2022-05-02,125.34,243.0
1.0,150.97,2021-08-07,2022-05-02,150.63,268.0
1.0,313.44,2021-09-01,2022-05-02,313.1,243.0
1.0,173.96,2021-08-04,2022-05-02,173.62,271.0
5.0,170.13,2021-07-26,2022-05-02,844.27,280.0
1.0,139.47,2021-08-23,2022-05-02,139.13,252.0
1.0,159.84,2021-08-25,2022-05-02,159.5,250.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
1.0,139.47,2021-08-17,2022-05-02,139.13,258.0
1.0,425.76,2021-08-01,2022-05-02,425.42,274.0
1.0,185.24,2021-08-11,2022-05-02,184.9,264.0
1.0,76.12,2021-08-14,2022-05-02,75.78,261.0
1.0,371.72,2021-08-13,2022-05-02,371.38,262.0
1.0,113.03,2021-08-06,2022-05-02,112.69,269.0
2.0,96.83,2021-07-25,2022-05-02,191.8,281.0
1.0,110.74,2021-09-01,2022-05-02,110.4,243.0
1.0,139.47,2021-08-14,2022-05-02,139.13,261.0
1.0,173.96,2021-08-04,2022-05-02,173.62,271.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
1.0,139.47,2021-08-13,2022-05-02,139.13,262.0
1.0,139.47,2021-09-01,2022-05-02,139.13,243.0
1.0,139.47,2021-08-21,2022-05-02,139.13,254.0
2.0,132.57,2021-08-21,2022-05-02,263.3,254.0
1.0,518.88,2021-08-25,2022-05-02,518.54,250.0
1.0,88.09,2021-07-28,2022-05-02,87.75,278.0
1.0,145.51,2021-09-01,2022-05-02,145.17,243.0
1.0,125.68,2021-09-01,2022-05-02,125.34,243.0
1.0,167.65,2021-08-14,2022-05-02,167.31,261.0
2.0,173.96,2021-07-27,2022-05-02,346.07,279.0
1.0,257.1,2021-08-01,2022-05-02,256.76,274.0
1.0,125.68,2021-09-01,2022-05-02,125.34,243.0
1.0,231.45,2021-08-07,2022-05-02,231.11,268.0
1.0,217.66,2021-09-01,2022-05-02,217.32,243.0
1.0,139.47,2021-08-13,2022-05-02,139.13,262.0
1.0,139.46,2021-08-11,2022-05-02,139.12,264.0
1.0,380.93,2021-08-26,2022-05-02,380.59,249.0
1.0,139.47,2021-09-01,2022-05-02,139.13,243.0
1.0,125.68,2021-09-01,2022-05-02,125.34,243.0
1.0,104.98,2021-08-22,2022-05-02,104.64,253.0
1.0,130.28,2021-07-29,2022-05-02,129.94,277.0
1.0,149.89,2021-08-10,2022-05-02,149.55,265.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
2.0,164.77,2021-08-27,2022-05-02,327.68,248.0
1.0,139.46,2021-08-02,2022-05-02,139.12,273.0
1.0,125.68,2021-09-01,2022-05-02,125.34,243.0
3.0,199.37,2021-08-29,2022-05-02,594.76,246.0
1.0,103.84,2021-08-02,2022-05-02,103.5,273.0
1.0,315.28,2021-08-25,2022-05-02,314.94,250.0
1.0,139.47,2021-08-28,2022-05-02,139.13,247.0
1.0,139.47,2021-08-25,2022-05-02,139.13,250.0
1.0,187.09,2021-07-27,2022-05-02,186.75,279.0
1.0,110.71,2021-09-01,2022-05-02,110.37,243.0
1.0,162.51,2021-09-01,2022-05-02,162.17,243.0
3.0,274.92,2021-08-04,2022-05-02,821.39,271.0
1.0,460.23,2021-08-16,2022-05-02,459.89,259.0
2.0,199.85,2021-08-12,2022-05-02,397.84,263.0
2.0,244.96,2021-08-01,2022-05-02,488.07,274.0
1.0,125.68,2021-09-01,2022-05-02,125.34,243.0
1.0,115.32,2021-08-01,2022-05-02,114.98,274.0
4.0,154.11,2021-08-27,2022-05-02,611.57,248.0
2.0,142.92,2021-07-28,2022-05-02,283.99,278.0
1.0,139.47,2021-08-29,2022-05-02,139.13,246.0
1.0,112.67,2021-07-30,2022-05-02,112.33,276.0
1.0,369.42,2021-08-01,2022-05-02,369.08,274.0
1.0,208.46,2021-08-28,2022-05-02,208.12,247.0
1.0,139.47,2021-08-14,2022-05-02,139.13,261.0
1.0,139.47,2021-08-16,2022-05-02,139.13,259.0
1.0,173.96,2021-08-04,2022-05-02,173.62,271.0
1.0,280.9,2021-09-01,2022-05-02,280.56,243.0
1.0,139.47,2021-08-14,2022-05-02,139.13,261.0
1.0,139.47,2021-08-13,2022-05-02,139.13,262.0
1.0,173.96,2021-08-04,2022-05-02,173.62,271.0
1.0,120.85,2021-08-05,2022-05-02,120.51,270.0
1.0,115.33,2021-07-26,2022-05-02,114.99,280.0
1.0,139.47,2021-08-14,2022-05-02,139.13,261.0
1.0,145.51,2021-09-01,2022-05-02,145.17,243.0
1.0,150.52,2021-08-01,2022-05-02,150.18,274.0
1.0,101.42,2021-08-02,2022-05-02,101.08,273.0
1.0,313.91,2021-08-02,2022-05-02,313.57,273.0
3.0,326.73,2021-08-31,2022-05-02,976.82,244.0
1.0,164.77,2021-09-01,2022-05-02,164.43,243.0
1.0,151.78,2021-08-29,2022-05-02,151.44,246.0
1.0,145.51,2021-09-01,2022-05-02,145.17,243.0
1.0,233.76,2021-08-11,2022-05-02,233.42,264.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
2.0,156.89,2021-08-16,2022-05-02,311.94,259.0
1.0,139.47,2021-08-24,2022-05-02,139.13,251.0
1.0,199.14,2021-08-04,2022-05-02,198.8,271.0
1.0,173.96,2021-07-28,2022-05-02,173.62,278.0
1.0,118.15,2021-08-10,2022-05-02,117.81,265.0
3.0,229.92,2021-08-26,2022-05-02,686.41,249.0
1.0,156.73,2021-09-01,2022-05-02,156.39,243.0
2.0,77.86,2021-08-10,2022-05-02,153.87,265.0
2.0,239.37,2021-08-23,2022-05-02,476.9,252.0
1.0,139.47,2021-08-17,2022-05-02,139.13,258.0
1.0,192.7,2021-08-02,2022-05-02,192.36,273.0
1.0,249.86,2021-09-01,2022-05-02,249.52,243.0
2.0,159.01,2021-08-04,2022-05-02,316.17,271.0
1.0,173.96,2021-08-22,2022-05-02,173.62,253.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
1.0,173.96,2021-08-04,2022-05-02,173.62,271.0
2.0,117.13,2021-08-10,2022-05-02,232.4,265.0
2.0,170.52,2021-08-31,2022-05-02,339.19,244.0
1.0,231.45,2021-08-01,2022-05-02,231.11,274.0
1.0,99.07,2021-08-01,2022-05-02,98.73,274.0
1.0,173.96,2021-07-31,2022-05-02,173.62,275.0
1.0,139.47,2021-08-14,2022-05-02,139.13,261.0
1.0,139.47,2021-08-13,2022-05-02,139.13,262.0
1.0,50.91,2021-08-12,2022-05-02,50.57,263.0
1.0,217.66,2021-09-01,2022-05-02,217.32,243.0
1.0,173.96,2021-08-05,2022-05-02,173.62,270.0
1.0,173.96,2021-07-27,2022-05-02,173.62,279.0
1.0,110.74,2021-08-05,2022-05-02,110.4,270.0
1.0,139.62,2021-09-01,2022-05-02,139.28,243.0
1.0,204.54,2021-09-01,2022-05-02,204.2,243.0
2.0,311.53,2021-08-01,2022-05-02,621.22,274.0
1.0,288.93,2021-07-28,2022-05-02,288.59,278.0
1.0,139.47,2021-08-14,2022-05-02,139.13,261.0
1.0,139.47,2021-08-16,2022-05-02,139.13,259.0
2.0,107.86,2021-09-01,2022-05-02,213.87,243.0
2.0,298.3,2021-07-27,2022-05-02,594.74,279.0
1.0,201.23,2021-08-06,2022-05-02,200.89,269.0
2.0,209.61,2021-08-01,2022-05-02,417.37,274.0
1.0,74.99,2021-08-01,2022-05-02,74.65,274.0
1.0,206.16,2021-07-28,2022-05-02,205.82,278.0
1.0,145.51,2021-08-26,2022-05-02,145.17,249.0
2.0,407.85,2021-09-01,2022-05-02,813.85,243.0
1.0,145.51,2021-09-01,2022-05-02,145.17,243.0
1.0,71.54,2021-08-05,2022-05-02,71.2,270.0
1.0,209.6,2021-07-28,2022-05-02,209.26,278.0
1.0,121.08,2021-08-14,2022-05-02,120.74,261.0
4.0,184.89,2021-09-01,2022-05-02,734.71,243.0
1.0,164.65,2021-07-27,2022-05-02,164.31,279.0
1.0,269.68,2021-09-01,2022-05-02,269.34,243.0
1.0,255.87,2021-08-24,2022-05-02,255.53,251.0
1.0,173.96,2021-08-05,2022-05-02,173.62,270.0
1.0,87.62,2021-08-07,2022-05-02,87.28,268.0
1.0,202.72,2021-08-02,2022-05-02,202.38,273.0
1.0,210.75,2021-08-13,2022-05-02,210.41,262.0
1.0,94.07,2021-08-11,2022-05-02,93.73,264.0
1.0,210.77,2021-08-31,2022-05-02,210.43,244.0
1.0,173.96,2021-08-05,2022-05-02,173.62,270.0
2.0,146.95,2021-08-20,2022-05-02,292.04,255.0
2.0,140.91,2021-08-18,2022-05-02,279.98,257.0
1.0,472.91,2021-07-31,2022-05-02,472.57,275.0
2.0,109.01,2021-07-25,2022-05-02,216.16,281.0
1.0,50.83,2021-08-12,2022-05-02,50.49,263.0
2.0,150.39,2021-08-04,2022-05-02,298.94,271.0
1.0,203.63,2021-08-31,2022-05-02,203.29,244.0
2.0,179.72,2021-09-01,2022-05-02,357.59,243.0
1.0,139.47,2021-08-14,2022-05-02,139.13,261.0
2.0,204.43,2021-08-04,2022-05-02,407.02,271.0
1.0,101.51,2021-08-15,2022-05-02,101.17,260.0
2.0,120.51,2021-10-13,2022-05-02,239.16,201.0
1.0,101.42,2021-10-14,2022-05-02,101.08,200.0
1.0,145.23,2021-10-13,2022-05-02,144.89,201.0
1.0,150.96,2021-10-16,2022-05-02,150.62,198.0
1.0,104.98,2021-10-13,2022-05-02,104.64,201.0
1.0,226.84,2021-10-13,2022-05-02,226.5,201.0
1.0,122.21,2021-10-16,2022-05-02,121.87,198.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
2.0,180.35,2021-10-16,2022-05-02,358.85,198.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
1.0,125.68,2021-10-14,2022-05-02,125.34,200.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
1.0,253.3,2021-10-15,2022-05-02,252.96,199.0
1.0,103.83,2021-10-15,2022-05-02,103.49,199.0
1.0,196.95,2021-10-16,2022-05-02,196.61,198.0
1.0,107.29,2021-10-15,2022-05-02,106.95,199.0
1.0,87.62,2021-10-14,2022-05-02,87.28,200.0
1.0,288.95,2021-10-13,2022-05-02,288.61,201.0
1.0,104.98,2021-10-13,2022-05-02,104.64,201.0
1.0,254.0,2021-10-14,2022-05-02,253.66,200.0
6.0,308.44,2021-10-13,2022-05-02,1842.76,201.0
1.0,280.09,2021-10-15,2022-05-02,279.75,199.0
1.0,125.68,2021-10-14,2022-05-02,125.34,200.0
1.0,153.24,2021-10-13,2022-05-02,152.9,201.0
1.0,139.47,2021-10-15,2022-05-02,139.13,199.0
1.0,110.71,2021-10-16,2022-05-02,110.37,198.0
1.0,145.23,2021-10-13,2022-05-02,144.89,201.0
1.0,43.94,2021-10-14,2022-05-02,43.6,200.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
4.0,232.28,2021-10-14,2022-05-02,924.25,200.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
2.0,199.83,2021-10-16,2022-05-02,397.82,198.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
1.0,145.23,2021-10-13,2022-05-02,144.89,201.0
6.0,99.41,2021-10-15,2022-05-02,588.6,199.0
1.0,139.47,2021-10-16,2022-05-02,139.13,198.0
1.0,254.0,2021-10-14,2022-05-02,253.66,200.0
5.0,204.06,2021-04-16,2022-05-02,1013.9,381.0
8.0,130.74,2021-04-17,2022-05-02,1035.02,380.0
1.0,104.97,2021-04-19,2022-05-02,104.63,378.0
1.0,322.41,2021-04-18,2022-05-02,322.07,379.0
4.0,150.22,2021-04-18,2022-05-02,596.02,379.0
1.0,150.97,2021-04-19,2022-05-02,150.63,378.0
1.0,132.57,2021-04-18,2022-05-02,132.23,379.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
4.0,206.04,2021-04-18,2022-05-02,819.29,379.0
1.0,270.55,2021-04-16,2022-05-02,270.21,381.0
1.0,100.71,2021-04-18,2022-05-02,100.37,379.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
1.0,63.49,2021-04-18,2022-05-02,63.15,379.0
1.0,139.47,2021-04-18,2022-05-02,139.13,379.0
1.0,106.1,2021-04-16,2022-05-02,105.76,381.0
2.0,153.83,2021-04-15,2022-05-02,305.82,382.0
1.0,123.68,2021-04-18,2022-05-02,123.34,379.0
3.0,271.24,2021-04-16,2022-05-02,810.36,381.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
1.0,105.9,2021-04-17,2022-05-02,105.56,380.0
2.0,96.04,2021-04-18,2022-05-02,190.23,379.0
1.0,403.92,2021-04-17,2022-05-02,403.58,380.0
1.0,96.15,2021-04-18,2022-05-02,95.81,379.0
1.0,118.3,2021-04-18,2022-05-02,117.96,379.0
1.0,255.38,2021-04-18,2022-05-02,255.04,379.0
3.0,194.2,2021-04-16,2022-05-02,579.25,381.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
2.0,90.55,2021-05-27,2022-05-02,179.26,340.0
1.0,388.64,2021-04-17,2022-05-02,388.3,380.0
9.0,185.85,2021-04-15,2022-05-02,1660.27,382.0
1.0,173.96,2021-04-18,2022-05-02,173.62,379.0
1.0,685.6,2021-04-16,2022-05-02,685.26,381.0
1.0,115.05,2021-04-16,2022-05-02,114.71,381.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
1.0,150.52,2021-04-17,2022-05-02,150.18,380.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
1.0,336.78,2021-04-15,2022-05-02,336.44,382.0
1.0,131.83,2021-04-17,2022-05-02,131.49,380.0
3.0,219.93,2021-04-16,2022-05-02,656.43,381.0
2.0,200.59,2021-04-18,2022-05-02,399.32,379.0
5.0,132.72,2021-04-15,2022-05-02,657.24,382.0
1.0,130.13,2021-04-15,2022-05-02,129.79,382.0
1.0,233.76,2021-04-18,2022-05-02,233.42,379.0
1.0,156.73,2021-04-18,2022-05-02,156.39,379.0
2.0,202.71,2021-04-18,2022-05-02,403.56,379.0
3.0,166.9,2021-04-15,2022-05-02,497.33,382.0
1.0,99.24,2021-04-18,2022-05-02,98.9,379.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
1.0,150.97,2021-04-16,2022-05-02,150.63,381.0
1.0,109.56,2021-04-16,2022-05-02,109.22,381.0
4.0,244.32,2021-04-15,2022-05-02,972.4,382.0
1.0,245.01,2021-04-17,2022-05-02,244.67,380.0
1.0,103.16,2021-04-17,2022-05-02,102.82,380.0
1.0,219.94,2021-04-18,2022-05-02,219.6,379.0
